mASR
0.023427162
0.001568464
0.001568464
0.001568464
0.001568464
0.000437755
0.000437755
0.000437755
0.000437755
0.000437755
0.00027146
0.00027146
0.00027146
0.00027146
0.00027146
0.000645949
0.000645949
0.000645949
0.000645949
0.000645949
0.002069627
0.002069627
0.002069627
0.002069627
0.002069627
0.002653064
0.002653064
0.002653064
0.002653064
0.002653064
0.003415273
0.003415273
0.003415273
0.003415273
0.003415273
0.004000423
0.004000423
0.004000423
0.004000423
0.004000423
0.004671349
0.004671349
0.004671349
0.004671349
0.004671349
0.006626045
0.006626045
0.006626045
0.006626045
0.006626045
0.010837043
0.010837043
0.010837043
0.010837043
0.010837043
0.01647891
0.01647891
0.01647891
0.01647891
0.01647891
0.023966272
0.023966272
0.023966272
0.023966272
0.023966272
0.03303308
0.03303308
0.03303308
0.03303308
0.03303308
0.043225168
0.043225168
0.043225168
0.043225168
0.043225168
0.059431783
0.059431783
0.059431783
0.059431783
0.059431783
0.142546294
0.142546294
0.142546294
0.142546294
0.142546294
0.142546294
0.142546294
0.142546294
0.142546294
0.142546294
1
